Vicinity,Timestamp,Latitude,Longitude,Temp (Fahrenheit),PM 1,PM 10,PM 2.5,RH,Temp (Celcius)
KCARP,2024-11-12T12:18:12.000,6.6829857,-1.5682895,92,10,12,11,52,33.33
KCARP,2024-11-12T12:18:17.000,6.6829843,-1.5682923,93,11,12,12,51,33.89
KCARP,2024-11-12T12:18:22.000,6.6829809,-1.5682972,93,12,13,13,51,33.89
KCARP,2024-11-12T12:18:27.000,6.6829842,-1.5683164,93,12,13,13,51,33.89
KCARP,2024-11-12T12:18:32.000,6.6829794,-1.5683194,93,12,13,13,51,33.89
KCARP,2024-11-12T12:18:37.000,6.6829776,-1.5683347,93,12,13,13,51,33.89
KCARP,2024-11-12T12:18:42.000,6.682977,-1.5683406,93,11,12,12,52,33.89
KCARP,2024-11-12T12:18:47.000,6.682977,-1.5683406,93,11,12,12,51,33.89
KCARP,2024-11-12T12:18:52.000,6.682977,-1.5683406,93,10,11,10,52,33.89
KCARP,2024-11-12T12:18:57.000,6.6829849,-1.5682995,93,10,11,10,51,33.89
KCARP,2024-11-12T12:19:02.000,6.6829783,-1.5682948,93,9,10,9,51,33.89
KCARP,2024-11-12T12:19:07.000,6.6829783,-1.5682948,93,8,9,9,51,33.89
KCARP,2024-11-12T12:19:12.000,6.6829965,-1.5682659,93,10,11,10,51,33.89
KCARP,2024-11-12T12:19:17.000,6.6829965,-1.5682659,93,11,12,12,51,33.89
KCARP,2024-11-12T12:19:22.000,6.6829998,-1.5682422,93,10,11,10,51,33.89
KCARP,2024-11-12T12:19:27.000,6.6829804,-1.5682487,93,8,10,9,50,33.89
KCARP,2024-11-12T12:19:32.000,6.6829805,-1.5682533,93,8,10,9,50,33.89
KCARP,2024-11-12T12:19:37.000,6.6829815,-1.5682511,93,9,10,9,50,33.89
KCARP,2024-11-12T12:19:42.000,6.6829815,-1.5682511,93,11,12,11,50,33.89
KCARP,2024-11-12T12:19:47.000,6.6829954,-1.5682547,93,11,13,12,50,33.89
KCARP,2024-11-12T12:19:52.000,6.6829973,-1.5682759,93,14,15,15,51,33.89
KCARP,2024-11-12T12:19:57.000,6.6829955,-1.5682784,93,12,13,13,51,33.89
KCARP,2024-11-12T12:20:02.000,6.6829955,-1.5682784,93,10,11,11,51,33.89
KCARP,2024-11-12T12:20:07.000,6.6829958,-1.5682727,93,8,10,9,50,33.89
KCARP,2024-11-12T12:20:12.000,6.6829974,-1.5682728,93,9,11,10,50,33.89
KCARP,2024-11-12T12:20:17.000,6.6829994,-1.5682733,93,10,11,10,49,33.89
KCARP,2024-11-12T12:20:22.000,6.6830031,-1.5682748,93,9,10,9,49,33.89
KCARP,2024-11-12T12:20:27.000,6.6830009,-1.5682711,93,10,11,10,49,33.89
KCARP,2024-11-12T12:20:32.000,6.6830009,-1.5682716,93,8,10,9,49,33.89
KCARP,2024-11-12T12:20:37.000,6.6829955,-1.5682757,93,10,11,10,50,33.89
KCARP,2024-11-12T12:20:42.000,6.6829924,-1.5682765,93,11,12,11,50,33.89
KCARP,2024-11-12T12:20:47.000,6.6829881,-1.5682721,93,9,11,10,51,33.89
KCARP,2024-11-12T12:20:52.000,6.6829858,-1.568275,93,8,10,9,52,33.89
KCARP,2024-11-12T12:20:57.000,6.6829858,-1.568275,93,10,11,10,51,33.89
KCARP,2024-11-12T12:21:02.000,6.6829846,-1.5682391,93,10,11,10,51,33.89
KCARP,2024-11-12T12:21:07.000,6.6829877,-1.5682404,93,10,11,10,50,33.89
KCARP,2024-11-12T12:21:12.000,6.6829859,-1.5682866,93,10,11,11,49,33.89
KCARP,2024-11-12T12:21:17.000,6.6829914,-1.5682473,93,11,12,12,49,33.89
KCARP,2024-11-12T12:21:22.000,6.6829864,-1.5682788,93,13,14,14,48,33.89
KCARP,2024-11-12T12:21:27.000,6.6829914,-1.5682468,93,12,13,13,48,33.89
KCARP,2024-11-12T12:21:32.000,6.6829914,-1.5682468,93,11,12,12,48,33.89
KCARP,2024-11-12T12:21:37.000,6.6829859,-1.5682871,93,8,10,9,48,33.89
KCARP,2024-11-12T12:21:42.000,6.6829864,-1.5682825,93,10,11,10,48,33.89
KCARP,2024-11-12T12:21:47.000,6.6829867,-1.5682784,93,11,12,12,48,33.89
KCARP,2024-11-12T12:21:52.000,6.6829917,-1.5682458,93,11,12,12,48,33.89
KCARP,2024-11-12T12:21:57.000,6.6829861,-1.5682858,93,10,11,11,48,33.89
KCARP,2024-11-12T12:22:02.000,6.6829861,-1.5682858,93,11,12,12,48,33.89
KCARP,2024-11-12T12:22:07.000,6.6829861,-1.5682858,93,11,12,12,48,33.89
KCARP,2024-11-12T12:22:12.000,6.6829861,-1.5682858,93,11,13,12,48,33.89
KCARP,2024-11-12T12:22:17.000,6.6829861,-1.5682858,93,12,13,13,48,33.89
KCARP,2024-11-12T12:22:22.000,6.6829851,-1.5682906,93,12,13,13,48,33.89
KCARP,2024-11-12T12:22:27.000,6.6829851,-1.5682906,93,11,12,12,48,33.89
KCARP,2024-11-12T12:22:32.000,6.6829912,-1.5682479,93,10,11,10,48,33.89
KCARP,2024-11-12T12:22:37.000,6.6829912,-1.5682479,93,10,11,10,48,33.89
KCARP,2024-11-12T12:22:42.000,6.6829873,-1.5682716,93,11,12,12,49,33.89
KCARP,2024-11-12T12:22:47.000,6.6829915,-1.5682458,93,11,12,12,49,33.89
KCARP,2024-11-12T12:22:52.000,6.6829865,-1.5682828,93,12,13,13,49,33.89
KCARP,2024-11-12T12:22:57.000,6.6829859,-1.5682871,93,11,12,12,50,33.89
KCARP,2024-11-12T12:23:02.000,6.6829856,-1.5682891,93,11,12,12,50,33.89
KCARP,2024-11-12T12:23:07.000,6.6829856,-1.5682891,93,10,11,10,50,33.89
KCARP,2024-11-12T12:23:12.000,6.6829856,-1.5682891,93,9,11,10,49,33.89
KCARP,2024-11-12T12:23:17.000,6.6829856,-1.5682891,93,10,11,11,49,33.89
KCARP,2024-11-12T12:23:22.000,6.6829856,-1.5682891,93,11,13,12,48,33.89
KCARP,2024-11-12T12:23:27.000,6.6829856,-1.5682891,93,11,12,11,48,33.89
KCARP,2024-11-12T12:23:32.000,6.6829856,-1.5682891,93,11,12,12,48,33.89
KCARP,2024-11-12T12:23:37.000,6.6829856,-1.5682891,93,12,13,13,48,33.89
KCARP,2024-11-12T12:23:42.000,6.6829863,-1.5682845,93,12,13,13,48,33.89
KCARP,2024-11-12T12:23:47.000,6.682986,-1.5682865,93,12,13,13,48,33.89
KCARP,2024-11-12T12:23:52.000,6.6829858,-1.568288,93,11,12,12,48,33.89
KCARP,2024-11-12T12:23:57.000,6.6829872,-1.5682736,93,10,11,11,48,33.89
KCARP,2024-11-12T12:24:02.000,6.6829862,-1.5682833,93,10,12,11,48,33.89
KCARP,2024-11-12T12:24:07.000,6.6829867,-1.5682787,93,9,11,10,48,33.89
KCARP,2024-11-12T12:24:12.000,6.6829858,-1.5682873,93,8,10,9,47,33.89
KCARP,2024-11-12T12:24:17.000,6.6829863,-1.5682898,93,9,11,10,48,33.89
KCARP,2024-11-12T12:24:22.000,6.6829862,-1.5682851,93,10,11,10,48,33.89
KCARP,2024-11-12T12:24:27.000,6.6829905,-1.568245,93,11,12,12,54,33.89
KCARP,2024-11-12T12:24:32.000,6.6829855,-1.5682881,93,11,12,12,60,33.89
KCARP,2024-11-12T12:24:37.000,6.682986,-1.5682903,93,10,11,10,64,33.89
