"Date","VOC, ppm","AQS","Temperature, °C","Humidity, %","Pressure, mbar","PM1, ug/m3","PM2.5, ug/m3","PM10, ug/m3","Latitude","Longitude"
"2024-11-13 16:03:00","0.01","80","28","42.0","979.85","14.0","16.0","18.0","",""
"2024-11-13 16:02:00","0.225","80","27.8","35.0","979.90","14.0","16.0","18.0","6.6830031","-1.5682835"
"2024-11-13 16:01:00","0.219","80","28","35.0","979.94","","","","",""
"2024-11-13 16:00:00","0.02","82","28","35.0","979.96","12.0","15.0","17.0","6.683037","-1.5682782"
"2024-11-13 15:59:00","0.011","82","28","36.0","980.03","12.0","15.0","17.0","6.683037","-1.5682782"
"2024-11-13 15:58:00","0.01","81","28","35.0","980.08","13.0","16.0","18.0","",""
"2024-11-13 15:57:00","0.01","79","28.3","39.0","980.00","14.2","16.9","18.9","6.6830176","-1.5682663"
"2024-11-13 15:56:00","0.299","81","28.3","39.0","980.00","13.0","15.0","17.0","6.6829935","-1.5682486"
"2024-11-13 15:55:00","0.324","80","28.7","37.0","980.10","12.6","14.7","15.8","6.6829921","-1.5682451"
"2024-11-13 15:54:00","0.371","77","28.9","37.0","980.10","12.0","14.0","16.0","6.6878717","-1.577867"
"2024-11-13 15:53:00","0.632","67","29.1","38.0","980.10","","","","6.682933","-1.5682452"
"2024-11-13 15:52:00","0.598","68","29.4","38.0","980.10","","","","6.682933","-1.5682452"
"2024-11-13 15:51:00","0.467","71","29.6","37.0","980.00","","","","6.682933","-1.5682452"
"2024-11-13 15:50:00","0.362","78","29.8","37.0","980.00","","","","6.682933","-1.5682452"
"2024-11-13 15:49:00","0.555","69","30","41.0","980.00","","","","6.682933","-1.5682452"
"2024-11-13 15:48:00","0.408","75","30.2","40.0","979.90","","","","6.682933","-1.5682452"
"2024-11-13 15:47:00","0.514","69","30.4","40.0","979.80","","","","6.6830026","-1.5682578"
"2024-11-13 15:46:00","0.474","71","30.6","39.0","979.70","","","","6.6830026","-1.5682578"
"2024-11-13 15:45:00","0.528","69","30.6","44.0","979.80","","","","6.6830026","-1.5682578"
"2024-11-13 15:44:00","0.531","69","30.3","48.0","979.70","","","","6.6830026","-1.5682578"
"2024-11-13 15:43:00","0.654","67","30.3","47.0","979.80","13.0","15.5","17.7","6.6830026","-1.5682578"
"2024-11-13 15:42:00","0.753","65","30.4","47.0","979.90","","","","6.6829076","-1.568863"
"2024-11-13 15:41:00","0.702","66","30.3","49.0","979.90","","","","6.6829076","-1.568863"
"2024-11-13 15:40:00","0.594","68","30.2","43.0","979.90","","","","6.6829839","-1.5682392"
"2024-11-13 15:39:00","0.539","69","30.3","40.0","980.00","","","","6.6829839","-1.5682392"
"2024-11-13 15:38:00","0.535","69","30.3","43.0","980.10","","","","6.6829839","-1.5682392"
"2024-11-13 15:37:00","0.862","63","31.6","47.0","979.70","","","","6.6829839","-1.5682392"
"2024-11-13 15:36:00","0.665","67","30","42.0","980.20","14.0","16.0","16.0","6.6829839","-1.5682392"
"2024-11-13 15:35:00","0.673","67","30","40.0","980.25","14.0","16.0","16.0","6.6829839","-1.5682392"
"2024-11-13 15:34:00","0.683","66","30","39.0","980.29","14.0","16.0","16.0","6.6829839","-1.5682392"
"2024-11-13 15:33:00","0.696","66","30","39.0","980.31","14.0","16.0","16.0","",""
"2024-11-13 15:32:00","0.713","66","30","38.0","980.34","14.0","16.0","16.0","",""
"2024-11-13 15:31:00","0.732","65","30","38.0","980.41","13.0","14.0","15.0","",""
"2024-11-13 15:30:00","0.748","65","30","37.0","980.46","12.0","14.0","16.0","",""
"2024-11-13 15:29:00","0.751","65","31","36.0","980.44","13.0","15.0","16.0","",""
"2024-11-13 15:28:00","0.752","65","31","37.0","980.49","13.0","15.0","16.0","",""
"2024-11-13 15:27:00","0.753","65","31","38.0","980.37","13.0","15.0","16.0","",""
"2024-11-13 15:26:00","0.755","65","31","38.0","980.26","13.0","15.0","16.0","",""
"2024-11-13 15:25:00","0.758","65","31","38.0","980.23","13.0","15.0","16.0","",""
"2024-11-13 15:24:00","0.76","65","31","38.0","980.31","13.0","15.0","16.0","",""
"2024-11-13 15:23:00","0.761","65","31","38.0","980.33","13.0","15.0","16.0","",""
"2024-11-13 15:22:00","0.765","65","31","37.0","980.45","13.0","15.0","16.0","",""
"2024-11-13 15:21:00","0.774","65","32","36.0","980.66","13.0","15.0","16.0","",""
"2024-11-13 15:20:00","0.789","64","32","36.0","980.53","13.0","15.0","16.0","",""
"2024-11-13 15:19:00","0.8","64","32","42.0","980.37","13.0","16.0","18.0","",""
"2024-11-13 15:18:00","0.792","64","32","51.0","980.29","12.0","15.0","16.0","",""
"2024-11-13 15:17:00","0.772","65","32","52.0","980.14","12.0","15.0","16.0","",""
"2024-11-13 15:16:00","0.782","65","31.6","45.0","979.70","","","","6.6829921","-1.5682455"
"2024-11-13 15:15:00","0.705","66","31.8","37.0","979.50","","","","6.6829921","-1.5682449"
"2024-11-13 15:14:00","0.701","66","31.9","38.0","979.50","","","","6.6829921","-1.5682449"
"2024-11-13 15:13:00","0.633","67","32.1","38.0","979.40","","","","6.6829921","-1.5682449"
"2024-11-13 15:12:00","0.543","69","32.2","39.0","979.40","","","","6.6829921","-1.5682449"
"2024-11-13 15:11:00","0.423","74","32.2","40.0","979.40","","","","6.6829924","-1.5682449"
"2024-11-13 15:10:00","0.524","69","32.3","41.0","979.30","14.0","16.4","18.0","6.6829924","-1.5682449"
"2024-11-13 15:09:00","0.661","67","32.8","38.0","979.30","","","","6.6829924","-1.5682449"
"2024-11-13 15:08:00","0.755","65","32.9","41.0","979.30","","","","6.6829924","-1.5682449"
"2024-11-13 15:07:00","0.86","63","33.1","45.0","979.40","","","","6.6829924","-1.5682449"
"2024-11-13 15:06:00","0.826","64","33","45.0","979.30","","","","6.6829927","-1.5682452"
"2024-11-13 15:05:00","0.792","64","32.9","45.0","979.30","","","","6.6829927","-1.5682452"
"2024-11-13 15:04:00","0.781","65","32.9","44.0","979.30","","","","6.6829927","-1.5682452"
"2024-11-13 15:03:00","0.739","65","32.8","42.0","979.30","","","","6.6829927","-1.5682452"
"2024-11-13 15:02:00","0.705","66","32.9","41.0","979.30","","","","6.6829927","-1.5682452"
"2024-11-13 15:01:00","0.592","68","33","42.0","979.30","","","","6.6829845","-1.5682396"
"2024-11-13 15:00:00","0.493","70","33.1","38.0","979.30","","","","6.6829845","-1.5682396"
"2024-11-13 14:59:00","0.599","68","33.2","40.0","979.30","14.5","17.4","19.6","6.6829845","-1.5682396"
"2024-11-13 14:58:00","0.883","63","33.6","38.0","979.40","","","","6.6829845","-1.5682396"
"2024-11-13 14:57:00","0.886","63","33.9","38.0","979.40","","","","6.6829845","-1.5682396"
"2024-11-13 14:56:00","0.959","62","34.3","40.0","979.40","","","","6.6829845","-1.5682396"
"2024-11-13 14:55:00","1.027","60","34.8","39.0","979.40","","","","6.6829845","-1.5682396"
"2024-11-13 14:54:00","1.099","59","35.1","41.0","979.40","","","","6.6829845","-1.5682396"
"2024-11-13 14:53:00","1.136","58","35.3","46.0","979.40","","","","6.6829845","-1.5682396"
"2024-11-13 14:52:00","1.037","60","35.3","47.0","979.40","","","","6.6829845","-1.5682396"
"2024-11-13 14:51:00","1.013","61","35.2","49.0","979.50","","","","6.6829845","-1.5682396"
"2024-11-13 14:50:00","0.886","63","35.2","47.0","979.40","","","","6.6829845","-1.5682396"
"2024-11-13 14:49:00","0.839","64","35.1","47.0","979.40","","","","6.6829845","-1.5682396"
"2024-11-13 14:48:00","0.769","65","35","45.0","979.40","13.4","15.4","16.3","6.6829924","-1.5682449"
"2024-11-13 14:47:00","0.618","67","35.3","39.0","979.30","13.7","16.0","17.9","6.6829927","-1.5682452"
"2024-11-13 14:46:00","0.541","69","35.6","36.0","979.30","14.7","16.9","17.7","6.6829918","-1.568245"
"2024-11-13 14:45:00","0.644","67","35.8","44.0","979.40","19.0","21.2","22.4","6.6829042","-1.5688732"
"2024-11-13 14:44:00","0.693","66","35.9","42.0","979.40","","","","6.6829509","-1.5687745"
"2024-11-13 14:43:00","0.706","66","35.9","42.0","979.40","","","","6.6878717","-1.577867"
"2024-11-13 14:42:00","0.794","64","35","48.0","977.50","","","","6.6829246","-1.5689031"
"2024-11-13 14:41:00","0.835","64","35","47.0","979.34","22.0","24.0","25.0","6.682911","-1.5688379"
"2024-11-13 14:40:00","0.836","64","35","49.0","979.50","18.0","21.0","22.0","6.682911","-1.5688379"
"2024-11-13 14:39:00","0.665","67","35","45.0","977.50","","","","6.6878751","-1.5778401"
"2024-11-13 14:38:00","0.719","66","35","42.0","977.40","","","","6.6878749","-1.5778398"
"2024-11-13 14:37:00","0.775","65","35.1","41.0","977.40","","","","6.6869214","-1.5780356"
"2024-11-13 14:36:00","0.815","64","35.1","43.0","977.50","","","","6.6869214","-1.5780356"
"2024-11-13 14:35:00","0.679","66","34.9","43.0","977.50","","","","6.6874979","-1.5779206"
"2024-11-13 14:34:00","0.796","64","34.8","47.0","977.60","20.4","22.6","23.8","6.6876676","-1.5778948"
"2024-11-13 14:33:00","0.899","63","34.9","45.0","977.60","","","","6.6878216","-1.5778637"
"2024-11-13 14:32:00","0.821","64","35","45.0","977.60","","","","6.6869204","-1.5780407"
"2024-11-13 14:31:00","0.748","65","35.1","43.0","977.60","","","","6.6869204","-1.5780407"
"2024-11-13 14:30:00","0.954","62","35.1","45.0","977.50","","","","6.6870384","-1.5781256"
"2024-11-13 14:29:00","0.931","62","35.2","44.0","977.60","","","","6.6870384","-1.5781256"
"2024-11-13 14:28:00","0.865","63","35.3","45.0","977.60","","","","6.6873719","-1.5779561"
"2024-11-13 14:27:00","0.852","63","35.4","41.0","977.60","","","","6.6881655","-1.5788666"
"2024-11-13 14:26:00","0.884","63","35.5","43.0","977.60","","","","6.687874","-1.5778464"
"2024-11-13 14:25:00","0.808","64","35.6","40.0","977.60","","","","6.6878738","-1.5778419"
"2024-11-13 14:24:00","0.747","65","35.6","41.0","977.60","","","","6.6870297","-1.5781246"
"2024-11-13 14:23:00","0.722","66","35.8","40.0","977.60","","","","6.6870297","-1.5781246"
"2024-11-13 14:22:00","0.874","63","36","41.0","977.71","15.0","17.0","18.0","6.6870297","-1.5781246"
"2024-11-13 14:21:00","0.786","65","36","38.0","977.60","","","","6.687867","-1.5778324"
"2024-11-13 14:20:00","0.789","64","36.1","39.0","977.60","","","","6.6878589","-1.5778406"
"2024-11-13 14:19:00","0.932","62","36.3","40.0","977.70","","","","6.6878478","-1.5778588"
