latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.94,-1.9495,328,1.1,1,2023-01-01,1032,Terra,MODIS,75,61.03,308.1,15.6,D,0
10.9308,-1.9508,326.5,1.1,1,2023-01-01,1032,Terra,MODIS,61,61.03,307.9,13.4,D,0
10.8768,-1.7195,318.7,1.1,1,2023-01-01,1032,Terra,MODIS,48,61.03,306.8,5.8,D,0
10.7199,-0.9811,318.6,1.2,1.1,2023-01-01,1032,Terra,MODIS,49,61.03,305.4,7.8,D,0
10.7182,-0.9703,320.5,1.2,1.1,2023-01-01,1032,Terra,MODIS,59,61.03,305.7,10.4,D,0
10.8972,-2.3409,320.6,1,1,2023-01-01,1032,Terra,MODIS,57,61.03,308.1,6,D,0
10.597,-0.6398,337.4,1.3,1.1,2023-01-01,1032,Terra,MODIS,86,61.03,309.4,38.2,D,0
10.4562,-0.0021,321.8,1.4,1.2,2023-01-01,1032,Terra,MODIS,65,61.03,308.1,14,D,0
10.522,-0.7496,334.7,1.2,1.1,2023-01-01,1032,Terra,MODIS,83,61.03,307.9,31.6,D,0
10.5185,-0.7273,325.3,1.3,1.1,2023-01-01,1032,Terra,MODIS,43,61.03,306.8,16.5,D,0
10.4722,-1.0209,321.8,1.2,1.1,2023-01-01,1032,Terra,MODIS,62,61.03,307.4,9.6,D,0
10.3724,-0.4525,319.6,1.3,1.1,2023-01-01,1032,Terra,MODIS,55,61.03,307.1,9.2,D,0
10.4311,-0.9675,322.3,1.2,1.1,2023-01-01,1032,Terra,MODIS,52,61.03,308.5,9.9,D,0
10.4083,-0.9487,323.5,1.2,1.1,2023-01-01,1032,Terra,MODIS,38,61.03,309.1,10.1,D,0
10.4067,-0.9378,334.6,1.2,1.1,2023-01-01,1032,Terra,MODIS,83,61.03,308.7,29.3,D,0
10.3261,-0.4183,320.5,1.3,1.1,2023-01-01,1032,Terra,MODIS,58,61.03,308.3,8.9,D,0
10.3918,-1.1602,357.6,1.2,1.1,2023-01-01,1032,Terra,MODIS,98,61.03,308.9,87.3,D,0
10.3902,-1.1495,363.2,1.2,1.1,2023-01-01,1032,Terra,MODIS,100,61.03,309.6,106.8,D,0
10.2739,-0.4143,322.9,1.3,1.1,2023-01-01,1032,Terra,MODIS,66,61.03,307,12.8,D,0
10.3888,-1.1665,320.6,1.2,1.1,2023-01-01,1032,Terra,MODIS,57,61.03,306.7,10,D,0
10.3872,-1.1559,368.9,1.2,1.1,2023-01-01,1032,Terra,MODIS,100,61.03,310.5,131.1,D,0
10.3856,-1.1453,326.4,1.2,1.1,2023-01-01,1032,Terra,MODIS,72,61.03,306.2,16.1,D,0
10.2735,-0.4081,319,1.3,1.1,2023-01-01,1032,Terra,MODIS,15,61.03,305.8,7.3,D,0
10.392,-1.2524,318.7,1.2,1.1,2023-01-01,1032,Terra,MODIS,35,61.03,305.8,6.1,D,0
10.3904,-1.2419,327.3,1.2,1.1,2023-01-01,1032,Terra,MODIS,73,61.03,306.1,17.3,D,0
10.3365,-0.8874,319.9,1.2,1.1,2023-01-01,1032,Terra,MODIS,54,61.03,307.5,7.5,D,0
10.2652,-0.4216,334.7,1.3,1.1,2023-01-01,1032,Terra,MODIS,83,61.03,308.3,34.1,D,0
10.2634,-0.4098,326.9,1.3,1.1,2023-01-01,1032,Terra,MODIS,74,61.03,306.3,19.4,D,0
10.9414,-1.9591,322.6,1.1,1,2023-01-01,1032,Terra,MODIS,45,61.03,306.7,9,D,0
10.3825,-1.2539,338.2,1.2,1.1,2023-01-01,1032,Terra,MODIS,86,61.03,307.9,36.2,D,0
10.3809,-1.2434,341.7,1.2,1.1,2023-01-01,1032,Terra,MODIS,89,61.03,309.2,43.2,D,0
